ModelID,ModelName
mobilenet,ssd_mobilenet_v2_oid_v4_2018_12_12
resnet101,ssd_resnet101_v1_fpn_shared_box_predictor_oid_512x512_sync_2019_01_20
faster-rcnn,faster_rcnn_inception_resnet_v2_atrous_oid_v4_2018_12_12
